,noise_position_moving,noise_collision_direction,noise_collision_elasticity,epsilon,rmse,r
116,12.0,0.8,0.0,0.15000000000000002,0.08859833441704157,0.9762675599254874
117,13.0,0.0,0.0,0.1,0.09694626698729937,0.9706231639281152
118,13.0,0.1,0.0,0.1,0.0922160842849361,0.9761253327128409
119,13.0,0.2,0.0,0.1,0.10262662392029018,0.9679145664412501
120,13.0,0.30000000000000004,0.0,0.2,0.08352786677504104,0.9758204841454007
121,13.0,0.4,0.0,0.2,0.09056384660491007,0.970778937949767
122,13.0,0.5,0.0,0.15000000000000002,0.08543923715599856,0.9759031742872263
123,13.0,0.6000000000000001,0.0,0.25,0.10320363924651942,0.9621134491605734
124,13.0,0.7000000000000001,0.0,0.1,0.09645426239367332,0.9715800426031617
125,13.0,0.8,0.0,0.2,0.08914943617332043,0.9730960848817569
126,14.0,0.0,0.0,0.2,0.08513366741790249,0.9755402754200978
127,14.0,0.1,0.0,0.2,0.09159858847043459,0.9705188914690489
128,14.0,0.2,0.0,0.1,0.1015970516657186,0.968432866925478
129,14.0,0.30000000000000004,0.0,0.2,0.0860966246486675,0.973875315098004
130,14.0,0.4,0.0,0.2,0.09045146773911106,0.9715481470037747
131,14.0,0.5,0.0,0.15000000000000002,0.09134319988687001,0.9729630213435911
132,14.0,0.6000000000000001,0.0,0.2,0.08968571889596945,0.9716535656858301
133,14.0,0.7000000000000001,0.0,0.1,0.10505307860713065,0.9678621807686171
134,14.0,0.8,0.0,0.2,0.08800804244527637,0.9729498043001957
135,15.0,0.0,0.0,0.1,0.10348050214967877,0.9671144456199555
136,15.0,0.1,0.0,0.1,0.09902390949394932,0.9710269772007736
137,15.0,0.2,0.0,0.2,0.08734355725658599,0.9733393846833964
138,15.0,0.30000000000000004,0.0,0.1,0.10028162207107612,0.9694410584724871
139,15.0,0.4,0.0,0.1,0.09361548064962316,0.9757537431869605
140,15.0,0.5,0.0,0.1,0.09625778748581192,0.9738705238116574
141,15.0,0.6000000000000001,0.0,0.1,0.09473764560634242,0.9740252740314471
142,15.0,0.7000000000000001,0.0,0.1,0.09303446211383098,0.9762858221898478
143,15.0,0.8,0.0,0.1,0.09706828263529789,0.9754574055782947
144,0.0,0.0,0.1,0.25,0.10839532871311246,0.9573997893268505
145,0.0,0.1,0.1,0.2,0.0906260032116969,0.9705570543664384
146,0.0,0.2,0.1,0.2,0.0848164022768492,0.9743691151560866
147,0.0,0.30000000000000004,0.1,0.2,0.08838792365345964,0.9732551450792184
148,0.0,0.4,0.1,0.2,0.09491087384642236,0.9678499374340775
149,0.0,0.5,0.1,0.2,0.0885583878575414,0.9726234886243987
150,0.0,0.6000000000000001,0.1,0.2,0.08528967819223061,0.9750292905532629
151,0.0,0.7000000000000001,0.1,0.2,0.09146629904366023,0.9700957191721595
152,0.0,0.8,0.1,0.15000000000000002,0.08776069669191476,0.97448777421813
153,1.0,0.0,0.1,0.2,0.08799348853560228,0.9725526222785759
154,1.0,0.1,0.1,0.15000000000000002,0.08542460584416434,0.9750664707296386
155,1.0,0.2,0.1,0.2,0.09466697504572331,0.9681324209677876
156,1.0,0.30000000000000004,0.1,0.15000000000000002,0.08508895874410975,0.9759565006397447
157,1.0,0.4,0.1,0.25,0.10825549156273953,0.9574960945832349
158,1.0,0.5,0.1,0.15000000000000002,0.09326682647257911,0.9729248999889676
159,1.0,0.6000000000000001,0.1,0.2,0.09558933106796301,0.9674506128213876
160,1.0,0.7000000000000001,0.1,0.25,0.10693596604938917,0.9585990048755372
161,1.0,0.8,0.1,0.25,0.10291158498446899,0.9618549704979675
162,2.0,0.0,0.1,0.2,0.08387371902662422,0.9755846917088931
163,2.0,0.1,0.1,0.15000000000000002,0.08102733331384025,0.9796094337604948
164,2.0,0.2,0.1,0.2,0.08872317090074566,0.9719527674073986
165,2.0,0.30000000000000004,0.1,0.2,0.08499994179175896,0.9744347620149747
166,2.0,0.4,0.1,0.15000000000000002,0.0886720935325716,0.9740487090534492
167,2.0,0.5,0.1,0.2,0.0904339562505178,0.9720230592292856
168,2.0,0.6000000000000001,0.1,0.2,0.08761473493700646,0.9738539180445943
169,2.0,0.7000000000000001,0.1,0.2,0.08265766383274571,0.9756394980244514
170,2.0,0.8,0.1,0.1,0.09222796647390438,0.9747190765025475
171,3.0,0.0,0.1,0.2,0.08628205481157816,0.9740485325220745
172,3.0,0.1,0.1,0.1,0.09220833254365332,0.9759609172690779
173,3.0,0.2,0.1,0.2,0.0890988915733369,0.9719501112475482
174,3.0,0.30000000000000004,0.1,0.15000000000000002,0.08249596990147924,0.9784494050651473
175,3.0,0.4,0.1,0.2,0.08711037577314354,0.9736655282592003
176,3.0,0.5,0.1,0.2,0.09322690143879793,0.9689112776234489
177,3.0,0.6000000000000001,0.1,0.2,0.08876387445980145,0.9716860745454526
178,3.0,0.7000000000000001,0.1,0.2,0.08876102080470426,0.9719217507267452
179,3.0,0.8,0.1,0.2,0.08584894149185641,0.9745544400166664
180,4.0,0.0,0.1,0.2,0.08999561447305758,0.9724162273437718
181,4.0,0.1,0.1,0.2,0.08228366804823957,0.9761325293514477
182,4.0,0.2,0.1,0.15000000000000002,0.09546193339669568,0.9711087640198246
